code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days
050960,수산아이앤티,202412090900,20241210,11000,19210,74.16,90,1
036630,세종텔레콤,202510160900,20251113,5989,10300,71.51,166,28
070300,엑스큐어,202407170900,20240718,3031,5127,68.69,329,1
065650,하이퍼코퍼레이션,202506260900,20250627,2135,3605,68.39,468,1
044480,빌리언스,202508060900,20250807,303,510,67.86,3300,1
000400,롯데손해보험,202602190900,20260223,1937,3250,67.33,516,4
079950,인베니아,202601050900,20260106,1560,2615,67.17,641,1
019990,에너토크,202505230900,20250526,6260,10340,64.72,159,3
043590,웰킵스하이텍,202401190900,20240122,1300,2140,64.16,769,3
044340,위닉스,202501090900,20250113,4900,8000,62.82,204,4
109960,앱토크롬,202508110900,20250812,359,582,61.67,2785,1
024830,세원물산,202504070900,20250409,8580,13900,61.56,116,2
034120,SBS,202412100900,20241223,15600,25050,60.14,64,13
193250,링크드,202504090900,20250410,428,682,58.91,2336,1
217500,러셀,202601090900,20260112,1945,3095,58.69,514,3
011080,형지I&C,202412090900,20241210,546,859,56.89,1831,1
032820,우리기술,202601190900,20260120,4725,7430,56.82,211,1
002630,오리엔트바이오,202412090900,20241210,650,1020,56.49,1538,1
025770,한국정보통신,202506110900,20250620,8120,12720,56.22,123,9
033170,시그네틱스,202510010900,20251010,702,1099,56.12,1424,9
052860,아이앤씨,202412090900,20241211,1650,2580,55.93,606,2
069920,엑시온그룹,202503250900,20250326,828,1293,55.73,1207,1
024060,흥구석유,202506130900,20250616,12440,19330,54.96,80,3
000540,흥국화재,202602200900,20260223,4450,6900,54.63,224,3
044180,KD,202412100900,20241211,426,660,54.5,2347,1
025950,동신건설,202512030900,20251204,13750,21300,54.48,72,1
065500,오리엔트정공,202412090900,20241210,2710,4185,54.0,369,1
028080,휴맥스홀딩스,202504040900,20250407,2185,3350,52.9,457,3
028080,휴맥스홀딩스,202408130900,20240814,2520,3860,52.75,396,1
000440,중앙에너비스,202506130900,20250616,16010,24500,52.61,62,3
002420,세기상사,202404080900,20240409,5580,8490,51.73,179,1
058820,CMG제약,202504110900,20250417,2010,3055,51.57,497,6
290120,DH오토리드,202505300900,20250602,2705,4100,51.15,369,3
353590,오토앤,202510310900,20251103,2765,4185,50.94,361,3
104040,대성파인텍,202504220900,20250423,826,1245,50.31,1210,1
199480,뱅크웨어글로벌,202506160900,20250618,4815,7250,50.16,207,2
298380,에이비엘바이오,202511100900,20251113,102000,153000,49.59,9,3
009620,삼보산업,202412130900,20241216,1930,2890,49.33,518,3
391710,코닉오토메이션,202508250900,20250826,1426,2125,48.61,701,1
208640,썸에이지,202508080900,20250811,430,640,48.43,2325,3
041910,폴라리스AI파마,202505090900,20250512,5790,8600,48.12,172,3
019990,에너토크,202405210900,20240528,6490,9620,47.82,154,7
008830,대동기어,202309070900,20230908,6740,9980,47.66,148,1
065500,오리엔트정공,202503310900,20250402,9630,14250,47.57,103,2
450140,코오롱모빌리티그룹,202509220900,20250923,10150,15000,47.38,98,1
006260,LS,202307250900,20230726,93500,138000,47.19,10,1
263770,유에스티,202507170900,20250729,2070,3055,47.18,483,12
045340,토탈소프트,202412090900,20241210,8200,12100,47.15,121,1
003960,사조대림,202406140900,20240617,47450,70000,47.12,21,3
251630,브이원텍,202505260900,20250527,4020,5930,47.11,248,1
140410,메지온,202512160900,20251217,75200,110800,46.93,13,1
018700,바른손,202506120900,20250623,1025,1510,46.91,975,11
043100,알파AI,202504240900,20250425,1360,2000,46.65,735,1
096630,에스코넥,202412110900,20241212,546,800,46.12,1831,1
017510,세명전기,202404300900,20240508,4600,6740,46.12,217,8
000950,전방,202506120900,20250613,32800,48050,46.09,30,1
004060,SG세계물산,202602190900,20260223,465,681,46.05,2150,4
031860,디에이치엑스컴퍼니,202412090900,20241211,1038,1520,46.03,963,2
032800,판타지오,202403140900,20240315,1425,2085,45.91,701,1
000540,흥국화재,202401310900,20240202,3390,4950,45.62,294,2
290120,DH오토리드,202601120900,20260114,2640,3855,45.62,378,2
043590,웰킵스하이텍,202507170900,20250718,624,910,45.43,1602,1
