code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
064850,에프앤가이드,202409230900,20240924,23000,38450,66.72,43,1,146.5,60.0,0.0,35.0,22.5,15.0,10.0,-8.0
438700,버넥트,202502170900,20250218,3190,5330,66.63,313,1,147.0,60.0,0.0,35.0,25.0,15.0,10.0,2.0
054300,팬스타엔터프라이즈,202504180900,20250421,637,1054,65.01,1569,3,146.5,60.0,0.0,35.0,22.5,15.0,10.0,2.0
025950,동신건설,202412090900,20241210,39800,62800,57.36,25,1,146.9,60.0,7.9,35.0,20.0,15.0,10.0,-5.0
109820,진매트릭스,202408070900,20240808,2920,4595,56.93,342,1,142.1,56.4,3.7,35.0,20.0,15.0,10.0,2.0
065500,오리엔트정공,202412090900,20241210,2710,4185,54.0,369,1,145.5,60.0,8.0,35.0,22.5,15.0,10.0,-5.0
389140,포바이포,202504170900,20250418,12047,18485,53.02,83,1,143.05,58.2,7.35,35.0,22.5,15.0,10.0,-5.0
025770,한국정보통신,202506190900,20250620,8420,12720,50.65,118,1,144.05,60.0,7.55,35.0,17.5,15.0,10.0,-15.0
043590,웰킵스하이텍,202303160900,20230317,1192,1796,50.26,838,1,141.3,43.8,0.0,35.0,17.5,15.0,5.0,10.0
294630,서남,202308010900,20230802,5630,8450,49.68,177,1,140.0,60.0,0.0,35.0,25.0,15.0,10.0,-5.0
317770,엑스페릭스,202504180900,20250421,4400,6540,48.23,227,3,140.9,56.4,0.0,35.0,22.5,15.0,10.0,2.0
065500,오리엔트정공,202503310900,20250402,9630,14250,47.57,103,2,140.0,60.0,8.0,35.0,20.0,15.0,10.0,-8.0
900290,GRT,202410210900,20241022,3675,5430,47.35,272,1,140.0,60.0,0.0,35.0,20.0,15.0,10.0,0.0
006260,LS,202307250900,20230726,93500,138000,47.19,10,1,149.5,60.0,8.0,35.0,22.5,15.0,10.0,-10.0
003960,사조대림,202406140900,20240617,47450,70000,47.12,21,3,143.0,60.0,0.0,35.0,25.0,15.0,10.0,-15.0
032800,판타지오,202403140900,20240315,1425,2085,45.91,701,1,142.9,56.4,6.5,35.0,25.0,15.0,10.0,-5.0
085670,뉴프렉스,202401260900,20240129,8320,12170,45.87,120,3,142.5,60.0,0.0,35.0,22.5,15.0,10.0,-15.0
299660,셀리드,202408080900,20240812,5249,7647,45.28,190,4,147.12,60.0,8.0,35.0,9.12,15.0,10.0,10.0
267320,나인테크,202308180900,20230821,4185,6080,44.88,238,3,141.04,58.2,5.34,35.0,22.5,15.0,10.0,-5.0
065370,위세아이텍,202504070900,20250408,7880,11400,44.27,126,1,140.38,60.0,0.0,35.0,6.38,19.0,10.0,10.0
263810,상신전자,202305020900,20230503,4200,6050,43.65,238,1,142.5,60.0,8.0,35.0,22.5,15.0,10.0,-8.0
146320,비씨엔씨,202305230900,20230524,16950,24400,43.56,58,1,140.5,51.0,0.0,35.0,22.5,15.0,5.0,2.0
222110,팬젠,202410040900,20241007,4170,5990,43.25,239,3,140.8,52.8,8.0,35.0,25.0,15.0,10.0,-5.0
356680,엑스게이트,202305170900,20230518,2820,4050,43.22,354,1,147.97,48.0,10.99,35.0,18.97,15.0,5.0,0.0
068330,일신바이오,202505290900,20250530,1285,1840,42.8,778,1,142.78,60.0,12.78,35.0,20.0,19.0,10.0,-15.0
321260,프로이천,202303150900,20230316,2375,3385,42.13,421,1,143.0,60.0,8.0,35.0,20.0,15.0,10.0,-5.0
199480,뱅크웨어글로벌,202506170900,20250618,5100,7250,41.77,196,1,140.1,58.2,6.9,35.0,20.0,15.0,10.0,-5.0
088340,유라클,202504030900,20250404,13950,19800,41.54,71,1,151.04,58.2,1.69,35.0,21.15,19.0,10.0,2.0
299660,셀리드,202505270900,20250528,6410,9050,40.8,156,1,142.5,60.0,8.0,35.0,22.5,15.0,10.0,-8.0
039560,다산네트웍스,202307070900,20230710,5180,7300,40.54,193,3,143.06,48.06,0.0,35.0,20.0,15.0,10.0,0.0
053160,프리엠스,202412100900,20241211,14900,20900,39.88,67,1,147.46,58.2,2.26,35.0,25.0,15.0,10.0,2.0
257720,실리콘투,202405090900,20240510,15710,22000,39.65,63,1,149.77,60.0,12.77,35.0,20.0,15.0,10.0,-18.0
189690,포시에스,202307030900,20230704,3220,4480,38.75,310,1,142.57,60.0,0.0,35.0,16.58,15.0,10.0,0.0
359090,씨엔알리서치,202404190900,20240422,1643,2285,38.69,608,3,156.0,60.0,8.0,35.0,20.0,19.0,10.0,-8.0
457550,우진엔텍,202506190900,20250620,22600,31400,38.55,44,1,141.0,60.0,0.0,35.0,20.0,15.0,10.0,-8.0
273060,와이즈버즈,202312210900,20231222,1323,1837,38.47,755,1,147.13,60.0,5.63,35.0,22.5,19.0,10.0,-5.0
045660,에이텍,202504010900,20250402,28650,39700,38.19,34,1,143.87,48.5,10.0,21.65,9.72,19.0,10.0,10.0
025950,동신건설,202504010900,20250402,47300,65400,37.88,21,1,140.36,45.5,9.88,34.45,15.53,15.0,10.0,10.0
224110,에이텍모빌리티,202412090900,20241210,20000,27650,37.87,50,1,143.7,58.2,8.0,35.0,22.5,15.0,10.0,-5.0
064850,에프앤가이드,202409190900,20240920,13900,19150,37.39,71,1,144.0,60.0,0.0,35.0,20.0,15.0,10.0,-8.0
002630,오리엔트바이오,202504010900,20250402,1584,2180,37.25,631,1,154.59,48.5,10.0,23.7,22.4,15.0,10.0,10.0
011080,형지I&C,202504020900,20250403,1758,2415,36.99,568,1,145.5,60.0,8.0,35.0,22.5,15.0,10.0,-5.0
042000,카페24,202306270900,20230628,12000,16420,36.46,83,1,141.7,58.2,16.0,35.0,22.5,15.0,10.0,-15.0
007370,진양제약,202408190900,20240820,5520,7550,36.4,181,1,148.0,60.0,0.0,35.0,20.0,15.0,10.0,-5.0
330860,네패스아크,202402210900,20240222,30600,41800,36.22,32,1,155.51,58.2,5.81,35.0,22.5,15.0,10.0,2.0
408900,스튜디오미르,202502280900,20250304,2835,3870,36.13,352,4,145.5,60.0,0.0,35.0,17.5,19.0,10.0,2.0
060250,NHN KCP,202506110900,20250619,8930,12120,35.35,111,8,152.23,46.2,8.53,35.0,22.5,15.0,10.0,0.0
095340,ISC,202307130900,20230714,63000,85400,35.18,15,1,148.7,58.2,8.0,35.0,17.5,15.0,10.0,-10.0
024060,흥구석유,202309120900,20230913,6100,8260,35.04,163,1,152.81,58.2,13.11,35.0,22.5,19.0,10.0,-5.0
011080,형지I&C,202412100900,20241211,859,1163,35.02,1164,1,141.1,54.6,8.0,35.0,22.5,15.0,10.0,-5.0
317850,대모,202407150900,20240723,9090,12300,34.94,110,8,144.39,56.4,0.0,40.49,17.5,15.0,5.0,10.0
247660,나노씨엠에스,202308070900,20230808,15290,20650,34.68,65,1,140.6,54.6,0.0,35.0,20.0,19.0,10.0,2.0
267320,나인테크,202502060900,20250212,2300,3105,34.63,434,6,154.77,47.0,16.67,30.1,20.0,15.0,10.0,2.0
053580,웹케시,202412120900,20241216,10070,13590,34.58,99,4,153.62,56.4,16.0,35.0,24.22,17.0,10.0,-5.0
001250,GS글로벌,202406210900,20240624,2490,3360,34.57,401,3,149.53,54.6,2.43,35.0,22.5,15.0,10.0,-5.0
035080,그래디언트,202305170900,20230518,15530,20900,34.21,64,1,141.89,50.0,9.09,21.3,22.5,19.0,10.0,-5.0
236810,엔비티,202506260900,20250627,3130,4210,34.13,319,1,141.2,58.2,8.0,35.0,20.0,15.0,10.0,-5.0
052400,코나아이,202506050900,20250609,61500,82600,33.94,16,4,145.66,60.0,6.66,35.0,25.0,15.0,10.0,-15.0
151860,KG에코솔루션,202304190900,20230420,20700,27700,33.45,48,1,145.03,54.03,0.0,35.0,20.0,19.0,10.0,-8.0
