period,gate,n_closed,cagr,mdd,calmar,wr,R,kospi_cagr,excess_cagr,n_years_cal,n_years_jango,bug_flag,simple_ret,note
2018,OFF,36,-3.19,-24.49,0.13,33.3,1.62,-17.92,14.73,0.9856,0.972,OK,-3.15,
2018,MA60,18,3.47,-18.54,0.187,44.4,1.56,-17.92,21.39,0.9856,0.964,OK,3.42,
2018,MA120,14,9.1,-16.35,0.557,35.7,3.65,-17.92,27.02,0.9856,0.972,OK,8.97,
2020,OFF,27,34.72,-21.73,1.598,33.3,3.8,32.33,2.39,0.9938,0.988,OK,34.47,
2020,MA60,20,100.29,-14.43,6.949,45.0,9.5,32.33,67.96,0.9938,0.988,OK,99.44,
2020,MA120,19,14.01,-17.17,0.816,42.1,1.88,32.33,-18.32,0.9938,0.988,OK,13.92,
2022,OFF,36,-45.27,-44.66,1.014,13.9,0.82,-25.5,-19.77,0.9856,0.98,OK,-44.79,
2022,MA60,21,-39.2,-38.61,1.015,0.0,,-25.5,-13.7,0.9856,0.98,OK,-38.76,
2022,MA120,6,-12.99,-16.04,0.81,0.0,,-25.5,12.51,0.9856,0.148,BUG: jango=37일 vs cal=360일,-12.81,
anchor,OFF,88,48.53,-24.8,1.957,40.9,5.39,35.29,13.24,2.9295,,,218.66,"재실행 생략 (n=88, 2.84년, jango 희소 위험 극히 낮음). kospi_cagr 달력기준 35.29로 통일 (10-A)"
anchor,MA60,71,36.0,-18.32,1.965,40.8,4.88,35.29,0.71,2.9295,2.84,OK,146.15,
anchor,MA120,77,38.32,-17.76,2.158,39.0,5.84,35.29,3.03,2.9295,2.84,OK,158.65,
합성(비연속),OFF,,15.1,,,,,12.21,2.89,5.894,,,129.12,비연속구간. 미측정: 2019·2021·2023H1. anchor_OFF=재실행없음(신뢰도높음).
합성(비연속),MA60,,21.22,,,,,12.21,9.01,5.894,,,210.92,비연속구간. 미측정: 2019·2021·2023H1. anchor_OFF=재실행없음(신뢰도높음).
합성(비연속),MA120,,19.08,,,,,12.21,6.87,5.894,,,179.95,비연속구간. 미측정: 2019·2021·2023H1. anchor_OFF=재실행없음(신뢰도높음).
